"","Wage","Education","Experience","Black","SMSA","Region"
"1",354.94,7,45,"No","Yes","NE"
"2",370.37,9,9,"No","Yes","NE"
"3",754.94,11,46,"No","Yes","NE"
"4",593.54,12,36,"No","Yes","NE"
"5",377.23,16,22,"No","Yes","NE"
"6",284.9,8,51,"No","Yes","NE"
"7",561.13,12,34,"No","Yes","NE"
"8",264.06,12,0,"No","Yes","NE"
"9",1643.83,14,18,"No","Yes","NE"
"10",474.83,12,17,"No","Yes","NE"
"11",299.15,8,42,"No","Yes","NE"
"12",244.88,10,10,"No","Yes","NE"
"13",474.83,14,19,"No","No","NE"
"14",213.68,12,40,"No","No","NE"
"15",864.2,16,42,"No","No","NE"
"16",841.93,14,27,"No","No","NE"
"17",301.96,16,-1,"No","No","NE"
"18",669.28,12,17,"No","No","NE"
"19",403.61,12,42,"No","No","NE"
"20",403.61,12,25,"No","No","NE"
"21",476.54,12,15,"No","No","NE"
"22",536.56,16,26,"No","No","NE"
"23",1018.52,11,4,"No","Yes","NE"
"24",339.21,13,17,"No","Yes","NE"
"25",546.06,12,16,"No","Yes","NE"
"26",251.95,14,4,"No","Yes","NE"
"27",522.32,16,20,"No","Yes","NE"
"28",204.18,12,6,"No","Yes","NE"
"29",1419.75,10,35,"No","Yes","NE"
"30",208.5,10,4,"No","Yes","NE"
"31",1283.53,16,10,"No","No","NE"
"32",586.42,13,22,"No","No","NE"
"33",750.24,12,20,"No","No","NE"
"34",370.37,12,36,"No","Yes","NE"
"35",510.45,12,10,"No","Yes","NE"
"36",343.21,12,10,"No","No","NE"
"37",795.35,12,12,"No","No","NE"
"38",338.48,12,17,"No","No","NE"
"39",997.15,18,14,"No","Yes","NE"
"40",593.54,12,38,"No","Yes","NE"
"41",420.23,16,6,"No","Yes","NE"
"42",427.35,6,47,"No","No","NE"
"43",522.32,12,26,"No","No","NE"
"44",296.3,12,3,"No","No","NE"
"45",783.48,18,12,"No","No","NE"
"46",427.35,6,41,"No","No","NE"
"47",712.25,12,18,"No","Yes","NE"
"48",641.03,12,32,"No","No","NE"
"49",759.73,13,28,"No","Yes","NE"
"50",594.52,12,18,"No","Yes","NE"
"51",771.6,15,18,"No","Yes","NE"
"52",1851.85,17,14,"No","Yes","NE"
"53",1009.02,14,9,"No","Yes","NE"
"54",1210.83,18,13,"No","Yes","NE"
"55",752.54,14,29,"No","Yes","NE"
"56",246.91,16,20,"No","Yes","NE"
"57",835.71,18,26,"No","Yes","NE"
"58",1182.34,14,23,"No","Yes","NE"
"59",1028.02,18,12,"No","Yes","NE"
"60",688.51,18,5,"No","Yes","NE"
"61",688.51,16,14,"No","Yes","NE"
"62",358.02,12,1,"No","Yes","NE"
"63",368,13,16,"No","Yes","NE"
"64",197.53,11,1,"No","Yes","NE"
"65",379.87,12,8,"No","No","NE"
"66",432.1,17,7,"No","No","NE"
"67",403.61,15,4,"No","No","NE"
"68",189.93,12,28,"No","No","NE"
"69",332.38,12,2,"No","No","NE"
"70",474.83,12,22,"No","Yes","NE"
"71",275.81,11,2,"No","Yes","NE"
"72",522.32,14,10,"No","Yes","NE"
"73",356.13,12,47,"No","No","NE"
"74",546.06,12,24,"No","No","NE"
"75",444.06,12,41,"No","No","NE"
"76",569.8,8,36,"No","Yes","NE"
"77",555.56,12,26,"No","No","NE"
"78",308.64,12,11,"No","No","NE"
"79",474.83,16,18,"No","No","NE"
"80",237.42,12,7,"No","No","NE"
"81",302.59,12,4,"No","No","NE"
"82",262.3,12,2,"No","No","NE"
"83",430.03,8,40,"No","No","NE"
"84",441.26,12,43,"No","No","NE"
"85",261.16,9,43,"No","No","NE"
"86",237.42,12,11,"No","No","NE"
"87",1610.31,12,19,"No","No","NE"
"88",1047.01,16,14,"No","No","NE"
"89",949.67,17,17,"No","No","NE"
"90",1020.89,18,17,"No","No","NE"
"91",688.51,18,16,"No","No","NE"
"92",664.77,16,6,"No","Yes","NE"
"93",759.73,12,13,"No","Yes","NE"
"94",641.03,12,16,"No","Yes","NE"
"95",379.87,10,12,"No","Yes","NE"
"96",246.91,10,18,"No","Yes","NE"
"97",496.51,12,15,"No","Yes","NE"
"98",651.11,8,33,"No","No","NE"
"99",352.73,12,44,"No","No","NE"
"100",712.25,12,39,"No","No","NE"
"101",493.83,12,19,"No","No","NE"
"102",474.83,14,46,"No","No","NE"
"103",878.44,18,16,"No","Yes","NE"
"104",1025.64,16,29,"No","Yes","NE"
"105",356.13,14,4,"No","Yes","NE"
"106",197.53,10,8,"No","Yes","NE"
"107",641.03,13,27,"No","No","NE"
"108",284.9,12,15,"No","No","NE"
"109",493.83,12,6,"No","No","NE"
"110",807.22,12,41,"No","No","NE"
"111",1044.63,12,39,"No","No","NE"
"112",346.63,14,28,"No","Yes","NE"
"113",498.58,12,10,"No","No","NE"
"114",261.16,12,22,"No","No","NE"
"115",587.89,18,14,"No","No","NE"
"116",569.8,12,29,"No","No","NE"
"117",612.73,15,22,"No","No","NE"
"118",227.92,12,27,"No","No","NE"
"119",71.23,12,1,"No","No","NE"
"120",1685.66,18,14,"No","Yes","NE"
"121",949.67,17,17,"No","Yes","NE"
"122",166.19,11,22,"No","Yes","NE"
"123",593.54,14,18,"No","Yes","NE"
"124",783.48,16,20,"No","Yes","NE"
"125",902.18,12,16,"No","Yes","NE"
"126",427.35,12,14,"No","Yes","NE"
"127",783.48,12,25,"No","Yes","NE"
"128",308.64,13,-1,"No","Yes","NE"
"129",688.51,12,17,"No","No","NE"
"130",302.47,12,28,"No","No","NE"
"131",617.28,12,20,"No","No","NE"
"132",641.03,14,20,"No","No","NE"
"133",202.47,16,17,"No","No","NE"
"134",546.06,12,9,"No","No","NE"
"135",782.9,12,18,"No","No","NE"
"136",854.7,14,20,"No","No","NE"
"137",759.73,16,17,"No","No","NE"
"138",661.38,14,-1,"No","No","NE"
"139",332.38,15,3,"No","No","NE"
"140",735.49,5,37,"No","No","NE"
"141",664.77,10,7,"No","No","NE"
"142",688.51,12,36,"No","No","NE"
"143",637.71,12,38,"No","No","NE"
"144",410.73,14,18,"No","No","NE"
"145",249.29,14,25,"No","No","NE"
"146",209.88,12,26,"No","No","NE"
"147",504.27,13,24,"No","No","NE"
"148",269.44,9,29,"No","No","NE"
"149",759.73,8,43,"No","No","NE"
"150",338.32,12,24,"No","No","NE"
"151",807.22,12,37,"No","No","NE"
"152",332.38,12,20,"No","No","NE"
"153",712.25,16,11,"No","Yes","NE"
"154",846.98,18,15,"No","No","NE"
"155",707.5,13,28,"No","No","NE"
"156",653.59,16,36,"No","No","NE"
"157",391.74,12,14,"No","No","NE"
"158",395.06,14,2,"No","No","NE"
"159",378.09,12,0,"No","No","NE"
"160",379.87,12,12,"No","No","NE"
"161",256.41,12,20,"No","No","NE"
"162",318,12,27,"No","No","NE"
"163",522.32,12,17,"No","No","NE"
"164",284.9,12,6,"No","No","NE"
"165",254.63,16,3,"No","No","NE"
"166",458.21,16,6,"No","No","NE"
"167",142.45,12,11,"No","No","NE"
"168",664.77,15,20,"No","No","NE"
"169",997.15,16,17,"No","Yes","NE"
"170",474.83,16,1,"No","Yes","NE"
"171",432.1,12,19,"No","Yes","NE"
"172",593.54,16,9,"No","Yes","NE"
"173",402.68,8,47,"No","No","NE"
"174",474.36,12,14,"No","No","NE"
"175",356.13,12,8,"No","No","NE"
"176",186.45,8,9,"No","Yes","NE"
"177",581.67,17,24,"No","No","NE"
"178",338.9,14,14,"No","No","NE"
"179",541.31,15,23,"No","No","NE"
"180",546.06,12,19,"No","No","NE"
"181",189.93,12,16,"No","No","NE"
"182",712.25,16,14,"No","No","NE"
"183",451.09,12,3,"No","No","NE"
"184",379.87,16,18,"No","No","NE"
"185",284.9,12,8,"No","No","NE"
"186",626.78,18,11,"No","No","NE"
"187",1590.69,18,23,"No","No","NE"
"188",374.53,9,40,"No","No","NE"
"189",807.22,12,19,"No","No","NE"
"190",158.25,13,18,"No","No","NE"
"191",997.15,12,8,"No","No","NE"
"192",925.93,12,11,"No","No","NE"
"193",830.96,12,10,"No","No","NE"
"194",439.22,12,11,"No","Yes","NE"
"195",498.58,12,7,"No","Yes","NE"
"196",493.83,11,45,"No","No","NE"
"197",332.38,15,18,"No","No","NE"
"198",166.19,18,16,"No","No","NE"
"199",261.16,12,6,"No","Yes","NE"
"200",207.82,8,55,"No","No","NE"
"201",334.36,12,38,"No","No","NE"
"202",498.53,15,19,"No","No","NE"
"203",322.06,8,35,"No","Yes","NE"
"204",807.22,14,5,"No","Yes","NE"
"205",474.83,12,14,"No","Yes","NE"
"206",629.39,16,11,"No","Yes","NE"
"207",377.49,9,20,"No","Yes","NE"
"208",587.89,16,19,"No","Yes","NE"
"209",997.15,16,19,"No","Yes","NE"
"210",474.83,14,5,"No","Yes","NE"
"211",403.61,13,12,"No","Yes","NE"
"212",569.8,13,5,"No","No","NE"
"213",878.44,14,24,"No","No","NE"
"214",593.54,12,48,"No","No","NE"
"215",484.14,12,21,"No","Yes","NE"
"216",617.28,10,35,"No","Yes","NE"
"217",1187.08,16,19,"No","Yes","NE"
"218",878.44,12,35,"No","Yes","NE"
"219",593.54,12,7,"No","Yes","NE"
"220",712.25,13,32,"No","No","NE"
"221",617.28,8,44,"No","No","NE"
"222",320.51,16,8,"No","No","NE"
"223",427.35,10,10,"No","No","NE"
"224",546.06,16,12,"No","No","NE"
"225",422.08,10,43,"No","No","NE"
"226",475.64,8,44,"No","Yes","NE"
"227",213.68,16,8,"No","No","NE"
"228",246.91,16,4,"No","No","NE"
"229",185.19,12,5,"No","No","NE"
"230",409.54,16,19,"No","No","NE"
"231",303.03,18,33,"No","No","NE"
"232",493.83,12,16,"No","No","NE"
"233",593.54,10,12,"No","No","NE"
"234",118.71,16,1,"No","Yes","NE"
"235",682.57,18,20,"No","Yes","NE"
"236",1115.86,18,17,"No","Yes","NE"
"237",648.46,13,26,"No","Yes","NE"
"238",354.94,12,4,"No","Yes","NE"
"239",370.37,10,8,"No","No","NE"
"240",569.8,12,9,"No","No","NE"
"241",673.4,16,24,"No","Yes","NE"
"242",807.22,14,19,"No","Yes","NE"
"243",997.15,14,28,"No","No","NE"
"244",691.38,12,16,"No","No","NE"
"245",498.58,12,7,"No","No","NE"
"246",522.32,12,34,"No","Yes","NE"
"247",420.23,12,8,"No","Yes","NE"
"248",415.48,12,5,"No","Yes","NE"
"249",305.27,12,9,"No","Yes","NE"
"250",308.95,13,33,"No","Yes","NE"
"251",1471.89,12,1,"No","Yes","NE"
"252",720.16,12,21,"No","No","NE"
"253",439.22,12,9,"No","No","NE"
"254",735.99,12,10,"No","No","NE"
"255",805.15,12,29,"No","No","NE"
"256",1608.88,18,38,"No","No","NE"
"257",830.96,12,12,"No","No","NE"
"258",448.72,12,4,"No","No","NE"
"259",712.25,12,22,"No","Yes","NE"
"260",949.67,12,38,"No","Yes","NE"
"261",439.22,12,19,"No","Yes","NE"
"262",771.6,12,17,"No","Yes","NE"
"263",478.4,12,18,"No","Yes","NE"
"264",1185.19,12,24,"No","Yes","NE"
"265",1068.38,17,4,"No","Yes","NE"
"266",474.83,13,8,"No","Yes","NE"
"267",434.22,11,48,"No","Yes","NE"
"268",363.25,12,5,"No","Yes","NE"
"269",498.58,12,36,"No","Yes","NE"
"270",1305.79,12,13,"No","Yes","NE"
"271",451.09,12,10,"No","Yes","NE"
"272",593.54,16,10,"No","Yes","NE"
"273",555.56,9,33,"No","Yes","NE"
"274",629.88,14,15,"No","Yes","NE"
"275",479.77,12,38,"No","No","NE"
"276",854.7,17,25,"No","No","NE"
"277",546.06,14,15,"No","No","NE"
"278",338.32,13,9,"No","No","NE"
"279",925.93,16,9,"No","No","NE"
"280",356.13,12,10,"No","No","NE"
"281",1208.85,12,18,"No","Yes","NE"
"282",1139.6,14,29,"No","Yes","NE"
"283",498.58,10,7,"No","Yes","NE"
"284",546.06,14,3,"No","No","NE"
"285",1543.21,12,28,"No","Yes","NE"
"286",617.28,16,2,"No","Yes","NE"
"287",807.22,16,12,"No","Yes","NE"
"288",891.07,16,4,"No","Yes","NE"
"289",538.94,16,4,"No","Yes","NE"
"290",944.92,12,11,"No","Yes","NE"
"291",1187.08,7,33,"No","Yes","NE"
"292",854.7,8,24,"No","Yes","NE"
"293",493.83,11,24,"No","Yes","NE"
"294",783.48,14,16,"No","Yes","NE"
"295",624.41,16,7,"No","Yes","NE"
"296",1092.12,16,17,"No","Yes","NE"
"297",688.51,16,10,"No","Yes","NE"
"298",498.58,14,6,"No","Yes","NE"
"299",676.64,16,10,"No","Yes","NE"
"300",432.1,13,2,"No","Yes","NE"
"301",1507.6,17,20,"No","Yes","NE"
"302",233.99,12,1,"No","Yes","NE"
"303",1115.86,18,9,"No","Yes","NE"
"304",423.63,12,7,"No","Yes","NE"
"305",949.67,18,8,"No","Yes","NE"
"306",586.42,13,4,"No","Yes","NE"
"307",296.77,12,28,"No","Yes","NE"
"308",1305.79,12,19,"No","Yes","NE"
"309",642.21,12,11,"No","Yes","NE"
"310",1371.74,17,7,"No","Yes","NE"
"311",830.96,17,9,"No","Yes","NE"
"312",498.58,2,14,"No","Yes","NE"
"313",997.15,12,20,"No","Yes","NE"
"314",213.68,12,17,"No","Yes","NE"
"315",1305.79,16,6,"No","Yes","NE"
"316",498.58,14,7,"No","Yes","NE"
"317",569.8,17,8,"No","Yes","NE"
"318",474.83,16,12,"No","Yes","NE"
"319",712.25,16,11,"No","Yes","NE"
"320",949.67,17,9,"No","Yes","NE"
"321",415.48,12,27,"No","Yes","NE"
"322",664.77,17,8,"No","Yes","NE"
"323",1167.62,14,24,"No","Yes","NE"
"324",316.87,12,0,"No","Yes","NE"
"325",451.09,12,7,"No","No","NE"
"326",356.13,10,40,"No","No","NE"
"327",569.8,12,31,"No","No","NE"
"328",308.64,12,2,"No","No","NE"
"329",733.62,16,34,"No","No","NE"
"330",830.96,12,22,"No","No","NE"
"331",902.18,6,42,"No","No","NE"
